origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
40737,12645,44.8952,38.5724,38.5724
40906,12735,45.565099999999994,38.56579999999999,38.56579999999999
40508,12715,52.029799999999994,38.5592,38.5592
13009,40530,41.6645,38.5559,38.5559
13002,21668,41.054,38.552600000000005,38.552600000000005
40909,12718,45.5057,38.55259999999999,38.55259999999999
12904,21218,,38.549299999999995,38.549299999999995
40737,12727,45.565099999999994,38.54269999999999,38.54269999999999
12628,40424,49.8617,38.5394,38.5394
40506,13008,,38.532799999999995,38.532799999999995
21242,12707,44.0108,38.5262,38.5262
13006,40435,,38.513,38.513
12710,40514,41.24869999999999,38.50310000000001,38.50310000000001
40438,12639,,38.4998,38.4998
21208,12710,45.80929999999999,38.493199999999995,38.493199999999995
40749,12715,,38.47670000000001,38.47670000000001
40526,12712,52.973600000000005,38.4668,38.4668
12715,21626,44.4926,38.46679999999999,38.46679999999999
12710,40508,41.20909999999999,38.46350000000001,38.46350000000001
40731,12710,49.901300000000006,38.4635,38.4635
12635,40528,61.0289,38.46020000000001,38.46020000000001
40716,13010,49.865,38.4602,38.4602
40909,13002,45.83569999999999,38.46019999999999,38.46019999999999
12534,40521,,38.456900000000005,38.456900000000005
40513,13136,55.48160000000001,38.4371,38.4371
40422,12712,63.85040000000001,38.4371,38.4371
13010,21940,,38.433800000000005,38.433800000000005
13138,40435,,38.4272,38.4272
21208,13006,44.1593,38.42389999999999,38.42389999999999
40434,12629,,38.42059999999999,38.42059999999999
40513,13002,55.7027,38.4074,38.4074
40909,12503,,38.40409999999999,38.40409999999999
21242,13011,44.1593,38.39750000000001,38.39750000000001
12637,40436,,38.3909,38.3909
13002,40402,41.892199999999995,38.3909,38.3909
12635,40424,55.052600000000005,38.3777,38.3777
40405,12707,48.224900000000005,38.3744,38.3744
13136,40535,77.21870000000001,38.371100000000006,38.371100000000006
12634,40528,60.7682,38.3678,38.3678
40536,13006,53.732600000000005,38.364499999999985,38.364499999999985
13011,40903,,38.354600000000005,38.354600000000005
40906,12612,,38.34799999999999,38.34799999999999
12904,40506,,38.331500000000005,38.331500000000005
40424,12535,56.814800000000005,38.3315,38.3315
40906,12645,44.5652,38.3249,38.3249
12537,40521,,38.3216,38.3216
13011,40439,,38.31830000000001,38.31830000000001
12503,40521,,38.3183,38.3183
21225,13009,46.16569999999999,38.315000000000005,38.315000000000005
40528,12904,,38.315,38.315
40435,13009,51.44239999999999,38.308400000000006,38.308400000000006
13006,40513,55.44199999999999,38.30180000000001,38.30180000000001
40906,12727,45.2351,38.295199999999994,38.295199999999994
13011,21518,,38.28860000000001,38.28860000000001
12710,40511,41.53909999999999,38.2886,38.2886
13008,21218,41.215700000000005,38.288599999999995,38.288599999999995
12634,40424,54.791900000000005,38.2853,38.2853
12535,40521,,38.2754,38.2754
40506,12904,,38.2721,38.2721
12712,40436,,38.2655,38.2655
21242,12710,45.4793,38.25889999999999,38.25889999999999
40526,12507,,38.255599999999994,38.255599999999994
40405,13011,48.37340000000001,38.24570000000001,38.24570000000001
12504,40521,,38.2457,38.2457
13011,40422,,38.235800000000005,38.235800000000005
40909,13027,45.17569999999999,38.232499999999995,38.232499999999995
40903,12629,48.14900000000001,38.232499999999995,38.232499999999995
40535,12710,,38.229200000000006,38.229200000000006
